"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR"
"DRYER_natura_root_ITS2_1_NA","DRYER_natura_root_ITS2_1_NA","DRYER","natura","root","ITS2","sample",NA,"1",8667,178,TRUE,TRUE,8570,140
"DRYER_natura_root_ITS2_2_NA","DRYER_natura_root_ITS2_2_NA","DRYER","natura","root","ITS2","sample",NA,"2",13438,262,TRUE,TRUE,12896,223
"DRYER_natura_root_ITS2_3_NA","DRYER_natura_root_ITS2_3_NA","DRYER","natura","root","ITS2","sample",NA,"3",18366,482,TRUE,TRUE,18175,425
"DRYER_natura_root_ITS2_5_NA","DRYER_natura_root_ITS2_5_NA","DRYER","natura","root","ITS2","sample",NA,"5",9253,313,TRUE,TRUE,9075,261
"DRYER_natura_root_ITS2_6_NA","DRYER_natura_root_ITS2_6_NA","DRYER","natura","root","ITS2","sample",NA,"6",11257,435,TRUE,TRUE,10708,389
"DRYER_natura_root_ITS2_7_NA","DRYER_natura_root_ITS2_7_NA","DRYER","natura","root","ITS2","sample",NA,"7",11715,251,TRUE,TRUE,11566,234
"DRYER_natura_root_ITS2_8_NA","DRYER_natura_root_ITS2_8_NA","DRYER","natura","root","ITS2","sample",NA,"8",13916,261,TRUE,TRUE,13824,248
"DRYER_natura_root_ITS2_10_NA","DRYER_natura_root_ITS2_10_NA","DRYER","natura","root","ITS2","sample",NA,"10",10953,138,TRUE,TRUE,10827,110
"DRYER_natura_root_ITS2_11_NA","DRYER_natura_root_ITS2_11_NA","DRYER","natura","root","ITS2","sample",NA,"11",8614,349,TRUE,TRUE,8477,303
"DRYER_natura_root_ITS2_12_NA","DRYER_natura_root_ITS2_12_NA","DRYER","natura","root","ITS2","sample",NA,"12",7466,274,TRUE,TRUE,7273,231
"DRYER_natura_root_ITS2_14_NA","DRYER_natura_root_ITS2_14_NA","DRYER","natura","root","ITS2","sample",NA,"14",8242,275,TRUE,TRUE,8052,201
"DRYER_natura_root_ITS2_16_NA","DRYER_natura_root_ITS2_16_NA","DRYER","natura","root","ITS2","sample",NA,"16",14381,536,TRUE,TRUE,14193,479
"DRYER_natura_root_ITS2_18_NA","DRYER_natura_root_ITS2_18_NA","DRYER","natura","root","ITS2","sample",NA,"18",14816,294,TRUE,TRUE,14725,252
"DRYER_natura_root_ITS2_19_NA","DRYER_natura_root_ITS2_19_NA","DRYER","natura","root","ITS2","sample",NA,"19",8092,312,TRUE,TRUE,7715,236
"DRYER_natura_root_ITS2_20_NA","DRYER_natura_root_ITS2_20_NA","DRYER","natura","root","ITS2","sample",NA,"20",10108,218,TRUE,TRUE,10008,198
"DRYER_natura_root_ITS2_21_NA","DRYER_natura_root_ITS2_21_NA","DRYER","natura","root","ITS2","sample",NA,"21",16275,347,TRUE,TRUE,16040,313
"DRYER_natura_root_ITS2_22_NA","DRYER_natura_root_ITS2_22_NA","DRYER","natura","root","ITS2","sample",NA,"22",13190,224,TRUE,TRUE,13039,160
"DRYER_natura_root_ITS2_23_NA","DRYER_natura_root_ITS2_23_NA","DRYER","natura","root","ITS2","sample",NA,"23",8634,219,TRUE,TRUE,8462,162
"DRYER_natura_root_ITS2_24_NA","DRYER_natura_root_ITS2_24_NA","DRYER","natura","root","ITS2","sample",NA,"24",15265,474,TRUE,TRUE,15046,432
"DRYER_natura_root_ITS2_25_NA","DRYER_natura_root_ITS2_25_NA","DRYER","natura","root","ITS2","sample",NA,"25",9225,235,TRUE,TRUE,8978,173
"DRYER_natura_root_ITS2_26_NA","DRYER_natura_root_ITS2_26_NA","DRYER","natura","root","ITS2","sample",NA,"26",12331,461,TRUE,TRUE,12133,370
"DRYER_natura_root_ITS2_27_NA","DRYER_natura_root_ITS2_27_NA","DRYER","natura","root","ITS2","sample",NA,"27",10929,334,TRUE,TRUE,10768,283
"DRYER_natura_root_ITS2_28_NA","DRYER_natura_root_ITS2_28_NA","DRYER","natura","root","ITS2","sample",NA,"28",13004,277,TRUE,TRUE,12803,234
"DRYER_natura_root_ITS2_29_NA","DRYER_natura_root_ITS2_29_NA","DRYER","natura","root","ITS2","sample",NA,"29",9923,275,TRUE,TRUE,9546,236
"DRYER_natura_root_ITS2_30_NA","DRYER_natura_root_ITS2_30_NA","DRYER","natura","root","ITS2","sample",NA,"30",13180,327,TRUE,TRUE,13055,276
"DRYER_natura_root_ITS2_31_NA","DRYER_natura_root_ITS2_31_NA","DRYER","natura","root","ITS2","sample",NA,"31",14530,160,TRUE,TRUE,14444,138
"DRYER_natura_root_ITS2_32_NA","DRYER_natura_root_ITS2_32_NA","DRYER","natura","root","ITS2","sample",NA,"32",6041,312,TRUE,TRUE,5754,256
"DRYER_natura_root_ITS2_33_NA","DRYER_natura_root_ITS2_33_NA","DRYER","natura","root","ITS2","sample",NA,"33",2592,172,TRUE,TRUE,2434,135
"DRYER_natura_root_ITS2_35_NA","DRYER_natura_root_ITS2_35_NA","DRYER","natura","root","ITS2","sample",NA,"35",15793,462,TRUE,TRUE,15629,393
"DRYER_natura_root_ITS2_36_NA","DRYER_natura_root_ITS2_36_NA","DRYER","natura","root","ITS2","sample",NA,"36",19005,346,TRUE,TRUE,18819,293
"DRYER_natura_root_ITS2_38_NA","DRYER_natura_root_ITS2_38_NA","DRYER","natura","root","ITS2","sample",NA,"38",17316,179,TRUE,TRUE,17112,166
"DRYER_natura_root_ITS2_43_NA","DRYER_natura_root_ITS2_43_NA","DRYER","natura","root","ITS2","sample",NA,"43",7668,294,TRUE,TRUE,7461,218
"DRYER_natura_root_ITS2_44_NA","DRYER_natura_root_ITS2_44_NA","DRYER","natura","root","ITS2","sample",NA,"44",12099,483,TRUE,TRUE,11699,401
"DRYER_natura_root_ITS2_45_NA","DRYER_natura_root_ITS2_45_NA","DRYER","natura","root","ITS2","sample",NA,"45",11292,262,TRUE,TRUE,11156,218
"DRYER_natura_root_ITS2_48_NA","DRYER_natura_root_ITS2_48_NA","DRYER","natura","root","ITS2","sample",NA,"48",15203,220,TRUE,TRUE,14867,203
"DRYER_natura_root_ITS2_49_NA","DRYER_natura_root_ITS2_49_NA","DRYER","natura","root","ITS2","sample",NA,"49",16515,312,TRUE,TRUE,16364,258
"DRYER_natura_root_ITS2_50_NA","DRYER_natura_root_ITS2_50_NA","DRYER","natura","root","ITS2","sample",NA,"50",14381,296,TRUE,TRUE,14018,220
"DRYER_natura_root_ITS2_51_NA","DRYER_natura_root_ITS2_51_NA","DRYER","natura","root","ITS2","sample",NA,"51",17680,480,TRUE,TRUE,17316,373
"DRYER_natura_root_ITS2_52_NA","DRYER_natura_root_ITS2_52_NA","DRYER","natura","root","ITS2","sample",NA,"52",13748,340,TRUE,TRUE,13486,278
"DRYER_natura_root_ITS2_53_NA","DRYER_natura_root_ITS2_53_NA","DRYER","natura","root","ITS2","sample",NA,"53",12267,423,TRUE,TRUE,12053,352
"DRYER_natura_root_ITS2_54_NA","DRYER_natura_root_ITS2_54_NA","DRYER","natura","root","ITS2","sample",NA,"54",13201,428,TRUE,TRUE,13001,316
"DRYER_natura_root_ITS2_55_NA","DRYER_natura_root_ITS2_55_NA","DRYER","natura","root","ITS2","sample",NA,"55",8785,340,TRUE,TRUE,8604,255
"DRYER_natura_root_ITS2_57_NA","DRYER_natura_root_ITS2_57_NA","DRYER","natura","root","ITS2","sample",NA,"57",14550,623,TRUE,TRUE,14291,546
"DRYER_natura_root_ITS2_58_NA","DRYER_natura_root_ITS2_58_NA","DRYER","natura","root","ITS2","sample",NA,"58",13480,442,TRUE,TRUE,13316,344
"DRYER_natura_root_ITS2_59_NA","DRYER_natura_root_ITS2_59_NA","DRYER","natura","root","ITS2","sample",NA,"59",17567,422,TRUE,TRUE,17354,315
"DRYER_natura_root_ITS2_60_NA","DRYER_natura_root_ITS2_60_NA","DRYER","natura","root","ITS2","sample",NA,"60",11845,330,TRUE,TRUE,11708,278
"DRYER_natura_root_ITS2_61_NA","DRYER_natura_root_ITS2_61_NA","DRYER","natura","root","ITS2","sample",NA,"61",14016,570,TRUE,TRUE,13817,469
"DRYER_natura_root_ITS2_62_NA","DRYER_natura_root_ITS2_62_NA","DRYER","natura","root","ITS2","sample",NA,"62",9415,359,TRUE,TRUE,9245,317
"DRYER_natura_root_ITS2_63_NA","DRYER_natura_root_ITS2_63_NA","DRYER","natura","root","ITS2","sample",NA,"63",9050,532,TRUE,TRUE,8772,455
